title,director,budget,gross,language,country,year,runtime,actors
Alleluia! The Devil's Carnival,Darren Lynn Bousman,0,0,en,US,2016,97,"Terrance Zdunich, Paul Sorvino, Emilie Autumn"
The Sound and the Shadow,Justin Paul Miller,0,0,en,US,2014,90,"Joseph E. Murray, Mary Kate Wiles, Alex Anfanger"
Rodeo Girl,Joel Paul Reisig,0,0,en,US,2016,108,"Kevin Sorbo, Sophie Bolen, Derek Brandon"
Born to Fly: Elizabeth Streb vs. Gravity,Catherine Gund,0,0,en,US,2014,82,"Elizabeth Streb, Fabio Tavares, Sarah Callan"
The Little Ponderosa Zoo,N/A,500000,0,en,US,2014,84,"Sharae Willis, Kena Holmes, Kristen Dye"
The Toxic Avenger,Lloyd Kaufman,500000,800000,en,US,1984,82,"Andree Maranda, Mitch Cohen, Jennifer Prichard"
Diamond Ruff,N/A,0,0,en,US,2015,0,"Heriberto Pagan, Mark Thompson, Joshua Eaddy"
Mutual Friends,Matthew Watts,0,0,en,US,2014,86,"Caitlin FitzGerald, Cheyenne Jackson, Peter Scanavino"
Rise of the Entrepreneur: The Search for a Better Way,N/A,0,0,en,US,2014,0,"Eric Worre, Bob Proctor, Les Brown"
As It Is in Heaven,Kay Pollak,0,0,sv,DK,2004,132,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm"
Roadside,Eric England,0,0,en,US,2013,81,"Ace Marrero, Katie Stegeman, Jack E. Curenton"
Dogtown and Z-Boys,Stacy Peralta,0,0,en,US,2002,90,"Jay Adams, Tony Alva, Stacy Peralta"
Gory Gory Hallelujah,Sue Corcoran,0,0,en,US,2003,96,"Angie Louise, Tim Gouran, Todd Licea"
Heroes,Ricardo Arnaiz,0,0,es,MX,2023,90,"Andrés Vázquez, Nicolás Haza, Zury Shasho"
I Want Your Money,Ray Griggs,0,0,en,US,2010,92,"Andrew Breitbart, John Stossel, Joe Biden"
Love in the Time of Monsters,Matt Jackson,0,0,en,US,2014,97,"Kane Hodder, Doug Jones, Gena Shaw"
Home Movies,Brian De Palma,0,0,en,US,1980,90,"Nancy Allen, Mary Davenport, Kirk Douglas"
The Dark Hours,Paul Fox,500000,0,en,CA,2005,80,"Kate Greenhouse, Aidan Devine, Gordon Currie"
My Beautiful Laundrette,Stephen Frears,860000,2451545,en,GB,1985,98,"Gordon Warnecke, Daniel Day-Lewis, Roshan Seth"
Fabled,Ari Kirschenbaum,0,0,en,US,2002,84,"Desmond Askew, Katheryn Winnick, J. Richey Nash"
Show Me,Lukas Moodysson,0,0,sv,SE,1998,89,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson"
Cries & Whispers,Ingmar Bergman,400000,0,sv,SE,1972,95,"Liv Ullmann, Ingrid Thulin, Kari Sylwan"
Intolerance: Love's Struggle Throughout the Ages,D.W. Griffith,385907,1750000,en,US,1916,197,"Lillian Gish, Mae Marsh, Robert Harron"
Trekkies,Roger Nygard,375000,0,en,US,1997,86,"Denise Crosby, Barbara Adams, Majel Barrett"
The Evil Dead,Sam Raimi,350000,29612367,en,US,1981,85,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor"
Censored Voices,Mor Loushy,0,0,en,IL,2015,84,Amos Oz
51 Birch Street,Doug Block,0,84109,en,US,2006,90,"Carol Block, Doug Block, Ellen Block"
Revolution,Hugh Hudson,28000000,358574,en,US,1985,126,"Al Pacino, Donald Sutherland, Nastassja Kinski"
Rotor DR1,Chad Kapper,350000,0,en,US,2015,98,"Christian Kapper, Natalie Welch, Tom E. Nicholson"
12 Angry Men,Sidney Lumet,397751,4360000,en,US,1957,97,"Martin Balsam, John Fiedler, Lee J. Cobb"
My Dog Tulip,Paul Fierlinger,0,246574,en,US,2010,83,"Christopher Plummer, Lynn Redgrave, Isabella Rossellini"
It Happened One Night,Frank Capra,325000,4500000,en,US,1934,105,"Clark Gable, Claudette Colbert, Walter Connolly"
Dogtooth,Aedan Warburton,3798,0,en,US,2024,10,"Aedan Warburton, Thatcher Chew, Mathew Chu"
Tupac: Resurrection,Lauren Lazin,300000,7808524,en,US,2003,112,"Tupac Shakur, Afeni Shakur, Snoop Dogg"
The Big Swap,Niall Johnson,50,60,en,GB,1998,116,"Mark Adams, Mark Caven, Allison Egan"
3 Backyards,Eric Mendelsohn,0,0,en,US,2010,88,"Embeth Davidtz, Edie Falco, Elias Koteas"
Pierrot le Fou,Jean-Luc Godard,300000,0,fr,FR,1965,110,"Jean-Paul Belmondo, Anna Karina, Graziella Galvani"
