title,director,budget,gross,language,country,year,runtime,actors
The Horseman on the Roof,Jean-Paul Rappeneau,35000000,15000000,fr,FR,1995,135,"Juliette Binoche, Olivier Martinez, Pierre Arditi"
Biutiful,Alejandro González Iñárritu,0,25147786,es,MX,2010,148,"Javier Bardem, Maricel Álvarez, Hanaa Bouchaib"
The Lovers,Roland Joffé,27000000,0,en,AU,2015,109,"Josh Hartnett, Simone Kessell, Tamsin Egerton"
Bandidas,Espen Sandberg,35000000,18381890,en,MX,2006,93,"Penélope Cruz, Salma Hayek Pinault, Steve Zahn"
Black Water Transit,Tony Kaye,0,0,en,US,2009,100,"Laurence Fishburne, Karl Urban, Brittany Snow"
Reds,Warren Beatty,35000000,40382659,en,US,1981,195,"Warren Beatty, Diane Keaton, Edward Herrmann"
Thunder and the House of Magic,Ben Stassen,34000000,64197205,en,BE,2013,85,"Brianne Siddall, Shanelle Gray, Robin Atkin Downes"
Wanderlust,David Wain,35000000,24200000,en,US,2012,98,"Jennifer Aniston, Paul Rudd, Justin Theroux"
1941,Steven Spielberg,35000000,94900000,en,US,1979,118,"Dan Aykroyd, Ned Beatty, John Belushi"
George and the Dragon,Tom Reeve,32000000,0,en,US,2004,93,"James Purefoy, Piper Perabo, Patrick Swayze"
Friday Night Lights,Peter Berg,30000000,61255921,en,US,2004,118,"Billy Bob Thornton, Lucas Black, Garrett Hedlund"
