title,director,budget,gross,language,country,year,runtime,actors
Star Wars: Episode VII - The Force Awakens,J.J. Abrams,245000000,2068223624,en,US,2015,136,"Harrison Ford, Mark Hamill, Carrie Fisher"
The Good Dinosaur,Peter Sohn,175000000,332207671,en,US,2015,93,"Frances McDormand, Raymond Ochoa, Jeffrey Wright"
The Lovers,Roland Joffé,27000000,0,en,AU,2015,109,"Josh Hartnett, Simone Kessell, Tamsin Egerton"
Godzilla Resurgence,Shinji Higuchi,15000000,78053145,ja,JP,2016,120,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara"
The Hobbit: An Unexpected Journey,Peter Jackson,250000000,1021103568,en,US,2012,169,"Martin Freeman, Ian McKellen, Richard Armitage"
Miami Vice,Michael Mann,135000000,163800000,en,US,2006,132,"Jamie Foxx, Colin Farrell, Gong Li"
Harry Potter and the Deathly Hallows: Part II,David Yates,125000000,1341511219,en,GB,2011,130,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Godzilla Resurgence,Shinji Higuchi,15000000,78053145,ja,JP,2016,120,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara"
Harry Potter and the Deathly Hallows: Part I,David Yates,125000000,1341511219,en,GB,2011,130,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Asterix at the Olympic Games,Thomas Langmann,97250400,131856927,fr,FR,2008,116,"Gérard Depardieu, Clovis Cornillac, José Garcia"
Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,135000000,245623848,en,US,2016,112,"Pete Ploszek, Alan Ritchson, Jeremy Howard"
The A-Team,Joe Carnahan,110000000,177238796,en,US,2010,117,"Liam Neeson, Bradley Cooper, Jessica Biel"
"10,000 B.C.",Willis H. O'Brien,0,0,en,US,1917,13,
Ben-Hur,William Wyler,15000000,164000000,en,US,1959,222,"Charlton Heston, Stephen Boyd, Hugh Griffith"
Hannibal,Ridley Scott,87000000,351692268,en,US,2001,131,"Anthony Hopkins, Julianne Moore, Gary Oldman"
All That Jazz,Bob Fosse,12000000,37823676,en,US,1979,123,"Roy Scheider, Ann Reinking, Leland Palmer"
Creepshow,George A. Romero,8000000,21028755,en,US,1982,120,"Hal Holbrook, Adrienne Barbeau, Fritz Weaver"
Charlotte's Web,Gary Winick,85000000,148964660,en,US,2006,97,"Dakota Fanning, Julia Roberts, Steve Buscemi"
Daredevil,Mark Steven Johnson,78000000,179179718,en,US,2003,103,"Ben Affleck, Jennifer Garner, Colin Farrell"
Déjà Vu,Tony Scott,75000000,180557550,en,GB,2006,126,"Denzel Washington, Paula Patton, Val Kilmer"
Bewitched,Nora Ephron,85000000,131426169,en,US,2005,102,"Nicole Kidman, Will Ferrell, Shirley MacLaine"
Evolution,Ivan Reitman,80000000,98376292,en,US,2001,101,"David Duchovny, Julianne Moore, Orlando Jones"
The Edge,Lee Tamahori,30000000,43300000,en,US,1997,117,"Anthony Hopkins, Alec Baldwin, Elle Macpherson"
Top Cat Begins,Andrés Couturier,8000000,4668442,es,MX,2015,89,"Jason Harris, David Hoffman, Bill Lobley"
Constantine,Francis Lawrence,100000000,230900000,en,US,2005,121,"Keanu Reeves, Rachel Weisz, Shia LaBeouf"
Life,Daniel Espinosa,58000000,100541806,en,US,2017,104,"Jake Gyllenhaal, Ryan Reynolds, Rebecca Ferguson"
Carriers,Àlex Pastor,0,5805279,en,US,2009,84,"Lou Taylor Pucci, Chris Pine, Piper Perabo"
Sleepy Hollow,Tim Burton,100000000,206071526,en,US,1999,105,"Johnny Depp, Christina Ricci, Miranda Richardson"
Legends of Oz: Dorothy's Return,Dan St. Pierre,70000000,18662027,en,US,2014,88,"Lea Michele, Dan Aykroyd, Jim Belushi"
The Finest Hours,Craig Gillespie,80000000,52099090,en,US,2016,117,"Chris Pine, Casey Affleck, Ben Foster"
Dinner for Schmucks,Jay Roach,69000000,86387857,en,US,2010,114,"Paul Rudd, Steve Carell, Stephanie Szostak"
Last Man Standing,Walter Hill,67000000,47267001,en,US,1996,101,"Bruce Willis, Bruce Dern, William Sanderson"
Red Dawn,Dan Bradley,65000000,44806783,en,US,2012,93,"Chris Hemsworth, Josh Peck, Josh Hutcherson"
The Missing,Ron Howard,60000000,38364277,en,US,2003,135,"Cate Blanchett, Tommy Lee Jones, Evan Rachel Wood"
Wild Hogs,Walt Becker,60000000,253625427,en,US,2007,100,"Tim Allen, John Travolta, Martin Lawrence"
Rules of Engagement,William Friedkin,60000000,71000000,en,US,2000,128,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce"
State of Play,Kevin Macdonald,60000000,87800000,en,GB,2009,127,"Russell Crowe, Ben Affleck, Rachel McAdams"
Trouble with the Curve,Robert Lorenz,60000000,49000000,en,US,2012,111,"Clint Eastwood, Amy Adams, Justin Timberlake"
Garfield 2,Tim Hill,60000000,141700000,en,US,2006,86,"Breckin Meyer, Jennifer Love Hewitt, Billy Connolly"
"Sabrina, the Teenage Witch",Tibor Takács,0,0,en,US,1996,91,"Melissa Joan Hart, Sherry Miller, Charlene Fernetz"
The Ridiculous 6,Frank Coraci,60000000,0,en,US,2015,119,"Adam Sandler, Terry Crews, Jorge Garcia"
Sex and the City,Michael Patrick King,65000000,418800000,en,US,2008,146,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis"
Anger Management,Peter Segal,75000000,195745823,en,US,2003,106,"Adam Sandler, Jack Nicholson, Marisa Tomei"
Stargate SG-1,Mario Philip Azzopardi,0,0,en,US,2009,92,"Richard Dean Anderson, Michael Shanks, Amanda Tapping"
Lolita,Adrian Lyne,62000000,1100000,en,US,1997,137,"Jeremy Irons, Dominique Swain, Melanie Griffith"
Eye See You,Israel Temoche,950,0,es,PE,2024,16,"Jack Vásquez, Jesús Landeo, Víctor  Barba"
Deck the Halls,John Whitesell,51000000,47231070,en,US,2006,93,"Danny DeVito, Matthew Broderick, Kristin Davis"
We Bought a Zoo,Cameron Crowe,50000000,120081841,en,US,2011,124,"Matt Damon, Scarlett Johansson, Thomas Haden Church"
The Ring Two,Hideo Nakata,50000000,161451538,en,US,2005,110,"Naomi Watts, Simon Baker, David Dorfman"
Unforgotten,Alexander Wilson-Flynn,0,0,en,US,2017,15,"Mel Tuck, Alex Kilner, Justin Turnbull"
Twisted,Philip Kaufman,50000000,40954603,en,US,2004,97,"Ashley Judd, Samuel L. Jackson, Andy García"
Defiance,Edward Zwick,32000000,51155219,en,US,2008,137,"Daniel Craig, Liev Schreiber, Jamie Bell"
Outlander,Howard McCain,50000000,7033683,en,US,2008,115,"Jim Caviezel, Sophia Myles, Jack Huston"
Pirate Radio,Jeff Pearson,0,0,en,US,2006,84,
Anna Karenina,Joe Wright,40600000,68929150,en,GB,2012,130,"Keira Knightley, Jude Law, Aaron Taylor-Johnson"
The Tooth Fairy,Chuck Bowman,0,0,de,DE,2006,89,"Lochlyn Munro, Chandra West, Steve Bacic"
Earth,Alastair Fothergill,15000000,109000000,en,US,2007,90,"Patrick Stewart, Constantino Romero, James Earl Jones"
First Blood,Ted Kotcheff,15000000,125212904,en,US,1982,93,"Sylvester Stallone, Richard Crenna, Brian Dennehy"
Solaris,Steven Soderbergh,47000000,30002758,en,US,2002,99,"George Clooney, Natascha McElhone, Viola Davis"
The Infiltrator,Brad Furman,28000000,21011110,en,US,2016,127,"Bryan Cranston, Diane Kruger, John Leguizamo"
Inchon,Terence Young,46000000,5200000,en,KR,1981,140,"Laurence Olivier, Jacqueline Bisset, Ben Gazzara"
"Yours, Mine and Ours",Melville Shavelson,0,0,en,US,1968,111,"Lucille Ball, Henry Fonda, Van Johnson"
The Returned,Manuel Carballo,0,0,en,CA,2013,98,"Emily Hampshire, Kristen Holden-Ried, Shawn Doyle"
Foodfight!,Lawrence Kasanoff,65000000,73706,en,US,2012,91,"Charlie Sheen, Hilary Duff, Eva Longoria"
McHale's Navy,Bryan Spicer,0,4529843,en,US,1997,108,"Tom Arnold, Dean Stockwell, Debra Messing"
Animal Kingdom: Let's go Ape,Jamel Debbouze,37580800,16294916,fr,FR,2015,100,"Jamel Debbouze, Arié Elmaleh, Mélissa Theuriau"
Get Him to the Greek,Nicholas Stoller,40000000,90029656,en,US,2010,109,"Jonah Hill, Russell Brand, Rose Byrne"
Music and Lyrics,Marc Lawrence,40000000,145896422,en,US,2007,104,"Drew Barrymore, Hugh Grant, Toni Trucks"
Arthur,Steve Gordon,7000000,95461682,en,US,1981,97,"Dudley Moore, Liza Minnelli, John Gielgud"
Soul Men,Malcolm D. Lee,0,0,en,US,2008,103,"Samuel L. Jackson, Bernie Mac, Sharon Leal"
A Monster in Paris,Bibo Bergeron,25000000,26611650,fr,FR,2011,90,"Vanessa Paradis, Matthieu Chedid, Gad Elmaleh"
The Last Shot,Jeff Nathanson,0,541330,en,US,2004,90,"Matthew Broderick, Alec Baldwin, Toni Collette"
Baahubali: The Beginning,S. S. Rajamouli,25130430,90747520,te,IN,2015,159,"Prabhas, Rana Daggubati, Tamannaah Bhatia"
Because I Said So,Michael Lehmann,0,69485490,en,US,2007,102,"Diane Keaton, Mandy Moore, Gabriel Macht"
Dragon Nest: Warriors' Dawn,Yuefeng Song,40000000,0,zh,CN,2014,88,"Shen Dawei, Xu Jiao, Ye Sun"
Virgin Territory,David Leland,38000000,5410749,en,US,2007,93,"Hayden Christensen, Mischa Barton, Kate Groombridge"
Obitaemyy ostrov,Fyodor Bondarchuk,36500000,21834845,ru,RU,2008,115,"Vasily Stepanov, Pyotr Fyodorov, Yuliya Snigir"
Rush Hour,Brett Ratner,33000000,244721064,en,US,1998,97,"Jackie Chan, Chris Tucker, Tom Wilkinson"
Hit the Floor,Kays Khalil,0,0,en,US,2007,12,
The Bad News Bears,Michael Ritchie,9000000,42349782,en,US,1976,102,"Walter Matthau, Tatum O'Neal, Vic Morrow"
Flash Gordon,Mike Hodges,35000000,27100000,en,US,1980,111,"Sam J. Jones, Melody Anderson, Max von Sydow"
Heist,David Mamet,35000000,28500000,en,US,2001,107,"Gene Hackman, Danny DeVito, Delroy Lindo"
Bait,Kimble Rendall,30000000,32500000,en,AU,2012,93,"Sharni Vinson, Phoebe Tonkin, Julian McMahon"
Krull,Peter Yates,27000000,16916617,en,GB,1983,121,"Ken Marshall, Lysette Anthony, Freddie Jones"
Luther,Eric Till,30000000,29400000,en,DE,2003,123,"Joseph Fiennes, Jonathan Firth, Claire Cox"
Lion of the Desert,Moustapha Akkad,35000000,1502136,en,US,1981,173,"Anthony Quinn, Rod Steiger, Oliver Reed"
