title,director,budget,gross,language,country,year,runtime,actors
The Boys from Brazil,Franklin J. Schaffner,12000000,19000000,en,US,1978,125,"Gregory Peck, Laurence Olivier, James Mason"
My Baby's Daddy,Cheryl Dunye,12000000,18490423,en,US,2004,86,"Eddie Griffin, Anthony Anderson, Michael Imperioli"
How to Be a Player,Lionel C. Martin,0,13960203,en,US,1997,93,"Bill Bellamy, Lark Voorhies, Amber Smith"
Just Wright,Sanaa Hamri,0,21520719,en,US,2010,100,"Queen Latifah, Common, Paula Patton"
Rachel Getting Married,Jonathan Demme,0,16937968,en,US,2008,113,"Anne Hathaway, Rosemarie DeWitt, Bill Irwin"
The Postman Always Rings Twice,Bob Rafelson,12000000,12376625,en,US,1981,122,"Jack Nicholson, Jessica Lange, John Colicos"
Girl with a Pearl Earring,Peter Webber,10500000,31500000,en,GB,2003,101,"Scarlett Johansson, Colin Firth, Tom Wilkinson"
The Pursuit of D.B. Cooper,Roger Spottiswoode,0,0,en,US,1981,100,"Robert Duvall, Treat Williams, Kathryn Harrold"
Darling Companion,Lawrence Kasdan,0,1157257,en,US,2012,103,"Diane Keaton, Kevin Kline, Dianne Wiest"
"A Woman, a Gun and a Noodle Shop",Zhang Yimou,0,0,zh,CN,2009,95,"Sun Honglei, Xiao Shenyang, Yan Ni"
Cypher,Vincenzo Natali,7500000,898365,en,US,2002,95,"Jeremy Northam, Lucy Liu, Nigel Bennett"
Legend of Kung Fu Rabbit,Lijun Sun,19000000,3699225,zh,CN,2011,89,"Rebecca Black, Tom Arnold, Claire Geare"
Space Battleship Yamato,Takashi Yamazaki,12000000,49827298,ja,JP,2010,131,"Takuya Kimura, Meisa Kuroki, Toshiro Yanagiba"
Triangle,Christopher Smith,12000000,1594955,en,GB,2009,98,"Melissa George, Liam Hemsworth, Emma Lung"
10 Days in a Madhouse,Timothy Hines,1200000,0,en,US,2015,111,"Caroline Barry, Christopher Lambert, Kelly LeBrock"
Heaven Is for Real,Randall Wallace,12000000,101300000,en,CA,2014,99,"Greg Kinnear, Kelly Reilly, Connor Corum"
Dancin' It's On,David Winters,0,0,en,US,2015,89,"Witney Carson, Chehon Wespi-Tschopp, Gary Daniels"
