title,director,budget,gross,language,country,year,runtime,actors
Bleeding Hearts,Gregory Hines,0,0,en,US,1995,92,"Mark Jacobs, Karen Kirkland, Ruben Santiago-Hudson"
Dead Man's Shoes,Shane Meadows,0,0,en,GB,2004,90,"Paddy Considine, Toby Kebbell, Gary Stretch"
Wolf Creek,Greg McLean,1000000,30894796,en,AU,2005,104,"John Jarratt, Cassandra Magrath, Kestie Morassi"
Sex with Strangers,Harry Gantz,0,0,en,US,2002,105,
Dracula: Pages from a Virgin's Diary,Guy Maddin,1596010,0,en,CA,2002,75,"Wei-Qiang Zhang, Tara Birtwhistle, David Moroni"
Faith Like Potatoes,Regardt van den Bergh,597966,0,en,ZA,2006,97,"Frank Rautenbach, Jeanne Neilson, Hamilton Dlamini"
The Dead Undead,Matthew R. Anderson,0,0,en,US,2010,90,"Luke Goss, Joshua Alba, Matthew R. Anderson"
The Vatican Exorcisms,Joe Marino,0,0,en,US,2013,77,"Joe Marino, Piero Maggiò, Anella Vastola"
Casablanca,Michael Curtiz,878000,10462500,en,US,1943,102,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
Lake Mungo,Joel Anderson,2000000,0,en,AU,2009,87,"Rosie Traynor, David Pledger, Martin Sharpe"
Rocket Singh: Salesman of the Year,Shimit Amin,1250000,0,hi,IN,2009,156,"Ranbir Kapoor, Prem Chopra, Mukesh Bhhatt"
Silent Running,Douglas Trumbull,1000000,0,en,US,1972,89,"Bruce Dern, Cliff Potts, Ron Rifkin"
The Sleepwalker,Mona Fastvold,0,0,en,US,2014,92,"Gitte Witt, Christopher Abbott, Brady Corbet"
Tom Jones,Tony Richardson,1000000,37600000,en,GB,1963,128,"Albert Finney, Susannah York, Hugh Griffith"
Taxi Driver,Martin Scorsese,1900000,28579636,en,US,1976,114,"Robert De Niro, Jodie Foster, Cybill Shepherd"
Love Me Tender,Robert D. Webb,1000000,9000000,en,US,1956,89,"Richard Egan, Debra Paget, Elvis Presley"
An Inconvenient Truth,Davis Guggenheim,1000000,46243000,en,US,2006,100,"Al Gore, Billy West, Ronald Reagan"
Sands of Iwo Jima,Allan Dwan,1000000,7800000,en,US,1950,100,"John Wayne, John Agar, Adele Mara"
Shine a Light,Martin Scorsese,1000000,15773307,en,CA,2008,122,"Mick Jagger, Keith Richards, Charlie Watts"
Departure,Andrew Steggall,0,0,en,US,2016,109,"Juliet Stevenson, Alex Lawther, Phénix Brossard"
"Food, Inc.",Robert Kenner,1000000,4606199,en,US,2008,94,"Michael Pollan, Eric Schlosser, Richard Lobb"
October Baby,Jon Erwin,1000000,5396618,en,US,2011,107,"Rachel Hendrix, Jason Burkey, John Schneider"
The Skeleton Twins,Craig Johnson,1000000,5300000,en,US,2014,92,"Bill Hader, Kristen Wiig, Luke Wilson"
Martha Marcy May Marlene,Sean Durkin,1000000,3500000,en,US,2011,101,"Elizabeth Olsen, Sarah Paulson, Hugh Dancy"
Obvious Child,Gillian Robespierre,0,3123963,en,US,2014,85,"Jenny Slate, Jake Lacy, Gaby Hoffmann"
Bubba Ho-Tep,Don Coscarelli,1000000,1239541,en,US,2002,92,"Bruce Campbell, Ossie Davis, Ella Joyce"
Fiza,Khalid Mohammed,1000000,623791,hi,IN,2000,170,"Hrithik Roshan, Karisma Kapoor, Jaya Bachchan"
History of the World: Part I,Mel Brooks,11000000,31672907,en,US,1981,92,"Mel Brooks, Dom DeLuise, Madeline Kahn"
Luminarias,José Luis Valenzuela,1000000,428535,en,US,2000,100,"Scott Bakula, Cheech Marin, Lupe Ontiveros"
Palo Alto,Gia Coppola,0,919591,en,US,2013,100,"Emma Roberts, Jack Kilmer, Nat Wolff"
Ajami,Yaron Shani,1000000,1331651,he,IL,2009,120,"Fouad Habash, Nisrine Rihan, Elias Saba"
I Origins,Mike Cahill,1000000,481234,en,US,2014,106,"Michael Pitt, Brit Marling, Astrid Bergès-Frisbey"
Guiana 1838,Rohit Jagessar,0,0,en,US,2004,120,"Aasheekaa Bathija, Thomas Garvey, Kumar Gaurav"
Lisa Picard Is Famous,Griffin Dunne,0,112521,en,US,2000,90,"Laura Kirk, Nat DeWolf, Griffin Dunne"
A Lego Brickumentary,Daniel Junge,650000,0,en,DK,2014,93,"Jason Bateman, Jamie Berard, Bryan Bonahoom"
Chocolate: Deep Dark Secrets,Vivek Agnihotri,0,0,hi,IN,2005,159,"Anil Kapoor, Suniel Shetty, Arshad Warsi"
Speedway Junky,Nickolas Perry,1000000,0,en,US,1999,104,"Jesse Bradford, Jordan Brower, Jonathan Taylor Thomas"
The Last Big Thing,Dan Zukovic,0,0,en,US,1998,98,"Dan Zukovic, Mark Ruffalo, Sibel Ergener"
16 to Life,Becky Smith,0,0,en,US,2009,118,"Hallee Hirsh, Theresa Russell, Shiloh Fernandez"
Sparkler,Darren Stein,0,0,en,US,1997,96,"Park Overall, Veronica Cartwright, Freddie Prinze Jr."
The Helix... Loaded,A. Raven Cruz,0,0,en,US,2005,97,"Scott Levy, Vanilla Ice, Justin Baldoni"
Heli,Amat Escalante,1000000,0,es,MX,2013,105,"Armando Espitia, Andrea Vergara, Linda Gonzalez"
Karachi se Lahore,Wajahat Rauf,0,1000000,ur,UR,2015,144,"Shehzad Sheikh, Ayesha Omar, Yasir Hussain"
Loving Annabelle,Katherine Brooks,900000,0,en,US,2007,77,"Erin Kelly, Diane Gaidry, Laura Breckenridge"
