title,director,budget,gross,language,country,year,runtime,actors
Mooz-Lum,Qasim Basir,0,330048,en,US,2011,95,"Nia Long, Danny Glover, Evan Ross"
Hatchet,Adam Green,1500000,155873,en,US,2006,84,"Joel David Moore, Amara Zaragoza, Deon Richmond"
The Salon,Rafa Renas,0,0,en,SD,2025,25,
Road Hard,Adam Carolla,1500000,0,en,US,2015,97,"Adam Carolla, Diane Farr, Larry Miller"
Forty Shades of Blue,Ira Sachs,1500000,0,en,US,2005,108,"Rip Torn, Dina Korzun, Darren E. Burrows"
Amigo,John Sayles,1200000,183597,en,PH,2011,128,"Chris Cooper, Dane DeHaan, Garret Dillahunt"
Me You and Five Bucks,Jaime Zevallos,0,0,en,US,2015,93,"Angela Sarafyan, Jaime Zevallos, Sean Nateghi"
Housebound,Gerard Johnstone,0,0,en,NZ,2014,111,"Morgana O'Reilly, Rima Te Wiata, Glen-Paul Waru"
Wal-Mart: The High Cost of Low Price,Robert Greenwald,0,0,en,US,2005,98,"Lee Scott, Don Hunter, Jon Hunter"
Fetching Cody,David Ray,1500000,0,en,CA,2005,87,"Jay Baruchel, Sarah Lind, Jim Byrnes"
Once Upon a Time in Queens,David Rodriguez,0,0,en,US,2013,98,"Paul Sorvino, Chazz Palminteri, Michael Rapaport"
Closer to the Moon,Nae Caranfil,9000000,0,en,US,2014,112,"Vera Farmiga, Mark Strong, Harry Lloyd"
Mutant World,David Winning,0,1500000,en,CA,2014,85,"Kim Coates, Holly Deveaux, Ashanti"
Growing Up Smith,Frank Lotito,0,0,en,US,2017,102,"Roni Akurati, Brighton Sharbino, Jason Lee"
Checkmate,Luke Koefoed,0,0,en,AU,2024,3,"Luke Koefoed, Jasmine Loh"
Wind Walkers,Russell Friedenberg,0,0,en,US,2015,93,"Glen Powell, Rudy Youngblood, Zane Holtz"
Shalako,Edward Dmytryk,1455000,2620000,en,GB,1968,113,"Sean Connery, Brigitte Bardot, Jack Hawkins"
The Dog Lover,Alex Ranarivelo,2000000,0,en,US,2016,101,"Allison Paige, James Remar, Lea Thompson"
Girl House,Lee Dong-Joon,0,0,ko,KR,2020,77,"Han Ga-in, Im Cho-hee, Hae Il"
The Blue Room,Walter Doehner,0,0,es,MX,2002,104,"Juan Manuel Bernal, Patricia Llaca, Elena Anaya"
House at the End of the Drive,David Worth,0,0,en,US,2014,91,"James Aaron Oliver, Jonathan Mangum, Alison Raimondi"
Batman: The Movie,Chris McKay,80000000,311950384,en,DK,2017,104,"Will Arnett, Michael Cera, Rosario Dawson"
The Ballad of Gregorio Cortez,Robert M. Young,0,804963,en,US,1983,106,"Edward James Olmos, James Gammon, Tom Bower"
The Streets of San Francisco,Walter Grauman,0,0,en,US,1972,98,"Karl Malden, Robert Wagner, Michael Douglas"
Eddie: The Sleepwalking Cannibal,Boris Rodriguez,0,1632,en,CA,2012,79,"Thure Lindhardt, Georgina Reilly, Alain Goulem"
Queen of the Mountains,Sadyk Sher-Niyaz,1400000,0,ky,KG,2014,135,"Elina Abai Kyzy, Aziz Muradillayev, Nasira Mambetova"
Def-Con 4,Paul Donovan,0,0,en,CA,1985,88,"Lenore Zann, Maury Chaykin, Kate Lynch"
Neal 'N' Nikki,Arjun Sablok,0,0,hi,IN,2005,122,"Uday Chopra, Tanishaa Mukerji, Abhishek Bachchan"
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Craig Moss,1300000,0,en,US,2010,82,"Bryan Callen, Noureen DeWulf, Mircea Monroe"
Forget Me Not,Tyler Oliver,1300000,0,en,US,2009,103,"Carly Schroeder, Cody Linley, Micah Alberti"
Rebecca,Ben Wheatley,0,0,en,GB,2020,123,"Lily James, Armie Hammer, Kristin Scott Thomas"
The Lost Weekend,Billy Wilder,1250000,11000000,en,US,1945,101,"Ray Milland, Jane Wyman, Phillip Terry"
C.H.U.D.,Douglas Cheek,1250000,3412497,en,US,1984,97,"John Heard, Daniel Stern, Christopher Curry"
Filly Brown,Michael D. Olmos,0,2767693,en,US,2013,100,"Resmine Atis, Baby Bash, David Bianchi"
The Lion of Judah,Deryck Broom,15000000,0,en,ZA,2011,87,"Georgina Cordova, Ernest Borgnine, Michael Madsen"
Niagara,Henry Hathaway,1250000,8500000,en,US,1953,92,"Marilyn Monroe, Joseph Cotten, Jean Peters"
How Green Was My Valley,John Ford,1250000,6000000,en,US,1941,118,"Walter Pidgeon, Maureen O'Hara, Anna Lee"
The Girlfriend Experience,Steven Soderbergh,1700000,1007962,en,US,2009,77,"Sasha Grey, Chris Santos, Philip Eytan"
Da Sweet Blood of Jesus,Spike Lee,1420000,0,en,US,2015,123,"Stephen Tyrone Williams, Zaraah Abrahams, Rami Malek"
The Algerian,Giovanni Zelko,1,0,en,US,2015,104,"Ben Youcef, Candice Coke, Harry Lennix"
The Amazing Catfish,Claudia Sainte-Luce,1300000,0,es,MX,2013,91,"Ximena Ayala, Lisa Owen, Sonia Franco"
The Trouble with Harry,Alfred Hitchcock,1200000,7000000,en,US,1955,99,"John Forsythe, Shirley MacLaine, Edmund Gwenn"
The Blue Bird,George Cukor,12000000,3500000,en,SU,1976,95,"Patsy Kensit, Todd Lookinland, Elizabeth Taylor"
"Pink Ribbons, Inc.",Léa Pool,900000,25000,en,US,2011,97,"Samantha King, Barbara Brenner, Barbara Ehrenreich"
Certifiably Jonathan,James David Pasternak,1200000,0,en,US,2007,85,"Jonathan Winters, Sarah Silverman, Patricia Arquette"
Q,Laurent Bouhnik,1344000,0,fr,FR,2011,103,"Déborah Révy, Hélène Zimmer, Gowan Didi"
The Knife of Don Juan,Tom Sanchez,0,0,es,PE,2013,98,"Juan Carlos Montoya, Rodrigo Viaggio, Irma Maury"
Grand Theft Parsons,David Caffrey,0,6876,en,US,2004,88,"Johnny Knoxville, Christina Applegate, Gabriel Macht"
Extreme Movie,Andrew Jacobson,0,54822,en,US,2008,88,"Michael Cera, Jamie Kennedy, Matthew Lillard"
The Charge of the Light Brigade,Tony Richardson,0,0,en,GB,1968,139,"Trevor Howard, Vanessa Redgrave, John Gielgud"
Below Zero,Lluís Quílez,0,0,es,ES,2021,106,"Javier Gutiérrez, Karra Elejalde, Luis Callejo"
Crowsnest,Brenton Spencer,1200000,0,en,CA,2012,84,"Mittita Barber, Aslam Husain, Victor Zinck, Jr."
Cotton Comes to Harlem,Ossie Davis,1200000,0,en,US,1970,97,"Godfrey Cambridge, Raymond St. Jacques, Calvin Lockhart"
The Wicked Within,Jay Alaimo,0,0,en,US,2015,91,"Sienna Guillory, Gianni Capaldi, Enzo Cilenti"
