title,director,budget,gross,language,country,year,runtime,actors
Hits,David Cross,1000000,0,en,US,2014,96,"Meredith Hagner, Matt Walsh, James Adomian"
Jimmy and Judy,Randall Rubin,1000000,0,en,US,2006,99,"Edward Furlong, Rachael Bella, William Sadler"
Frat Party,Robert Bennett,0,0,en,US,2009,85,"Randy Wayne, Caroline D'Amore, Jareb Dauplaise"
The Party's Over,Elena Manrique,0,0,es,ES,2025,103,"Edith Martínez-Val, Sonia Barba, Beatriz Arjona"
Proud,Mary Pat Kelly,0,0,en,US,2004,87,"Ossie Davis, Stephen Rea, Aidan Quinn"
The Poker House,Lori Petty,1000000,0,en,US,2008,93,"Jennifer Lawrence, Selma Blair, Bokeem Woodbine"
Childless,Charlie Levi,1000000,0,en,US,2015,90,"Barbara Hershey, Joe Mantegna, Diane Venora"
ZMD: Zombies of Mass Destruction,Kevin Hamedani,500000,0,en,US,2010,92,"Janette Armand, Doug Fahl, Cooper Hopkins"
Snow White: A Deadly Summer,David DeCoteau,1000000,0,en,US,2012,85,"Shanley Caswell, Maureen McCormick, Eric Roberts"
Hidden Away,Giorgio Diritti,0,0,it,IT,2020,120,"Elio Germano, Oliver Ewy, Leonardo Carrozzo"
My Last Day Without You,Stefan C. Schaefer,1000000,0,de,DE,2011,93,"Ken Duken, Nicole Beharie, Reg E. Cathey"
Steppin: The Movie,Michael Taliferro,0,0,en,US,2009,85,"Darius McCrary, Wesley Jonathan, Chrystee Pharris"
Doc Holliday's Revenge,David DeCoteau,1000000,0,en,US,2014,84,"Tom Berenger, Ashley Hayes, Eric Roberts"
Black Rock,Katie Aselton,0,0,en,US,2012,79,"Katie Aselton, Lake Bell, Kate Bosworth"
Truth or Die,Tom Grejs,0,0,sv,SE,2010,11,"Moa Johansson, Christoffer Lehmann"
The Pet,D. Stevens,0,0,en,US,2006,94,"Pierre Dulat, Andrea Edmondson, Summer Nguyen"
Bang Bang Baby,Jeffrey St. Jules,1000000,0,en,US,2014,90,"Jane Levy, Peter Stormare, Justin Chatwin"
Fear Clinic,Robert Hall,1000000,0,en,US,2014,95,"Thomas Dekker, Robert Englund, Cleopatra Coleman"
