title,director,budget,gross,language,country,year,runtime,actors
Survivor,James McTeigue,20000000,0,en,US,2015,96,"Milla Jovovich, Pierce Brosnan, Dylan McDermott"
The Frozen Ground,Scott Walker,27220000,5496951,en,US,2013,105,"Nicolas Cage, Vanessa Hudgens, John Cusack"
The Shining,Stanley Kubrick,19000000,44781695,en,US,1980,144,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
Fight Valley,Rob Hawk,27000000,0,en,US,2016,90,"Susie Celek, Erin O'Brien, Miesha Tate"
"Gone, Baby, Gone",Steve Bacic,0,0,en,CA,2017,120,"Elisabeth Harnois, Anna Van Hooft, Ryan S Williams"
Firestorm,Dean Semler,19000000,8165212,en,US,1998,89,"Howie Long, Scott Glenn, Suzy Amis"
The Fall of the Roman Empire,Anthony Mann,19000000,4750000,en,US,1964,188,"Sophia Loren, Stephen Boyd, Alec Guinness"
Won't Back Down,Daniel Barnz,0,5310554,en,US,2012,121,"Viola Davis, Maggie Gyllenhaal, Ving Rhames"
Indignation,James Schamus,0,3924527,en,US,2016,110,"Logan Lerman, Sarah Gadon, Tracy Letts"
Out of Inferno,Oxide Pang Shun,0,0,cn,CN,2013,107,"Sean Lau Ching-Wan, Louis Koo, Chen Sicheng"
The O.C.,Hunter Stephenson,0,0,en,GB,2023,129,"Daniel H. Jenkins, Neill Barry, Paul Dooley"
Catch-22,Mike Nichols,18000000,24911670,en,US,1970,121,"Alan Arkin, Martin Balsam, Richard Benjamin"
Blow Out,Brian De Palma,18000000,12000000,en,US,1981,108,"John Travolta, Nancy Allen, John Lithgow"
Mao's Last Dancer,Bruce Beresford,25000000,23900000,en,CN,2009,117,"Chi Cao, Chengwu Guo, Wen Bin Huang"
Unforgettable,Denise Di Novi,12000000,17800000,en,US,2017,100,"Rosario Dawson, Katherine Heigl, Geoff Stults"
Restoration,Michael Hoffman,19000000,4005941,en,US,1995,117,"Robert Downey Jr., Meg Ryan, Sam Neill"
Metallica Through the Never,Nimród Antal,18000000,7972967,en,US,2013,93,"Dane DeHaan, James Hetfield, Lars Ulrich"
The Informers,Gregor Jordan,18000000,382174,en,US,2008,98,"Billy Bob Thornton, Kim Basinger, Jon Foster"
Carlos,Olivier Assayas,18000000,871279,en,DE,2010,339,"Edgar Ramírez, Alexander Scheer, Nora Waldstätten"
