title,director,budget,gross,language,country,year,runtime,actors
Mozart's Sister,Madeleine Hetherton-Miau,0,0,en,AU,2024,100,Alyona Popova
Blackthorn,Mateo Gil,0,987883,en,GB,2011,98,"Sam Shepard, Eduardo Noriega, Stephen Rea"
Lilya 4-Ever,Lukas Moodysson,2700000,1007747,sv,SE,2002,109,"Oksana Akinshina, Artyom Bogucharsky, Ljubov Agapova"
Fugly,Alfredo De Villa,0,0,en,US,2014,86,"John Leguizamo, Radha Mitchell, Rosie Perez"
R.L. Stine's Monsterville: The Cabinet of Souls,Peter DeLuise,4400000,0,en,US,2015,85,"Dove Cameron, Braeden Lemasters, Katherine McNamara"
Silent Movie,Naoko Yamada,0,30819442,ja,JP,2016,129,"Miyu Irino, Saori Hayami, Aoi Yuki"
Airlift,Raja Menon,4500000,32000000,hi,IN,2016,126,"Akshay Kumar, Nimrat Kaur, Inaamulhaq"
Anne of Green Gables,Kevin Sullivan,0,0,en,CA,1985,199,"Megan Follows, Colleen Dewhurst, Richard Farnsworth"
Falcon Rising,Ernie Barbarash,4500000,11774,en,US,2014,103,"Michael Jai White, Neal McDonough, Lateef Crowder"
Sexy Beast,Jonathan Glazer,5000000,0,en,GB,2001,89,"Ray Winstone, Ben Kingsley, Ian McShane"
Easy Money,James Signorelli,0,29300000,en,US,1983,95,"Rodney Dangerfield, Joe Pesci, Geraldine Fitzgerald"
Paa,Farhad Samji,0,0,hi,IN,2022,147,"Akshay Kumar, Kriti Sanon, Jacqueline Fernandez"
Cargo,Ben Howling,0,56385,en,AU,2017,105,"Martin Freeman, Simone Landers, Anthony Hayes"
High School Musical,Kenny Ortega,4200000,3746,en,US,2006,98,"Zac Efron, Vanessa Hudgens, Ashley Tisdale"
Animal Kingdom,Thomas Cailley,15200000,9138503,fr,BE,2023,127,"Romain Duris, Paul Kircher, Adèle Exarchopoulos"
Love and Death on Long Island,Richard Kwietniowski,0,0,en,CA,1998,93,"John Hurt, Jason Priestley, Fiona Loewi"
Night of the Living Dead,George A. Romero,114000,30000000,en,US,1968,96,"Judith O'Dea, Duane Jones, Marilyn Eastman"
