title,director,budget,gross,language,country,year,runtime,actors
Sleeper,Woody Allen,2000000,18344729,en,US,1973,87,"Woody Allen, Diane Keaton, John Beck"
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Woody Allen,2000000,18016290,en,US,1972,88,"Woody Allen, John Carradine, Lou Jacobi"
To Kill a Mockingbird,Robert Mulligan,2000000,13129846,en,US,1962,129,"Mary Badham, Gregory Peck, Phillip Alford"
Lolita,Adrian Lyne,62000000,1100000,en,US,1997,137,"Jeremy Irons, Dominique Swain, Melanie Griffith"
The Hustler,Robert Rossen,2000000,7600000,en,US,1961,134,"Paul Newman, Jackie Gleason, Piper Laurie"
Boom Town,Jack Conway,1600000,5000000,en,US,1940,119,"Clark Gable, Spencer Tracy, Claudette Colbert"
American Splendor,Robert Pulcini,2000000,6003587,en,US,2003,101,"Paul Giamatti, Hope Davis, Judah Friedlander"
Gentleman's Agreement,Elia Kazan,2000000,7800000,en,US,1947,118,"Gregory Peck, Dorothy McGuire, John Garfield"
Touching the Void,Kevin Macdonald,0,13885802,en,GB,2003,106,"Brendan Mackey, Nicholas Aaron, Ollie Ryall"
Alexander's Ragtime Band,Henry King,2000000,4000000,en,US,1938,106,"Tyrone Power, Alice Faye, Don Ameche"
Inside Job,Charles Ferguson,2000000,7871522,en,US,2010,109,"Matt Damon, William Ackman, Barack Obama"
Ghost Dog: The Way of the Samurai,Jim Jarmusch,2000000,9392768,en,US,1999,116,"Forest Whitaker, John Tormey, Cliff Gorman"
Strangers with Candy,Paul Dinello,3500000,2300000,en,US,2006,97,"Amy Sedaris, Stephen Colbert, Paul Dinello"
No End in Sight,Charles Ferguson,2000000,1431623,en,US,2007,102,"Campbell Scott, Gerald Burke, Ali Fadhil"
Get Real,Simon Shore,1200000,1200000,en,GB,1998,108,"Ben Silverstone, Brad Gorton, Charlotte Brittain"
Meek's Cutoff,Kelly Reichardt,0,876302,en,US,2011,104,"Michelle Williams, Bruce Greenwood, Will Patton"
Dinner Rush,Bob Giraldi,2000000,1075504,en,US,2000,99,"Danny Aiello, Polly Draper, Alex Corrado"
Clockwatchers,Jill Sprecher,0,537948,en,US,1997,96,"Toni Collette, Parker Posey, Lisa Kudrow"
Subway,Luc Besson,2000000,0,fr,FR,1985,102,"Isabelle Adjani, Christopher Lambert, Richard Bohringer"
Teeth,Mitchell Lichtenstein,2000000,2340110,en,US,2008,94,"Jess Weixler, John Hensley, Josh Pais"
Hum To Mohabbat Karega,Kundan Shah,0,0,hi,IN,2000,148,"Karisma Kapoor, Bobby Deol, Rohit Roy"
It's All Gone Pete Tong,Michael Dowse,2000000,120620,en,CA,2004,90,"Paul Kaye, Kate Magowan, Neil Maskell"
Eureka,Nicolas Roeg,0,123572,en,GB,1983,130,"Gene Hackman, Theresa Russell, Rutger Hauer"
Roadside Romeo,Jugal Hansraj,7000000,1100000,en,US,2008,92,"Saif Ali Khan, Kareena Kapoor Khan, Javed Jaffrey"
This Thing of Ours,Danny Provenzano,0,0,en,US,2005,100,"James Caan, Frank Vincent, Vincent Pastore"
The Lost Medallion: The Adventures of Billy Stone,Bill Muir,0,0,en,US,2013,97,"William Brent, Samantha Hanratty, James Hong"
The Last Five Years,Richard LaGravenese,3500000,292092,en,US,2014,94,"Anna Kendrick, Jeremy Jordan, Natalie Knepp"
The Missing Person,Noah Buschel,0,0,en,US,2009,95,"Michael Shannon, Amy Ryan, Frank Wood"
Return of the Living Dead III,Brian Yuzna,2000000,54207,en,US,1993,97,"Melinda Clarke, J. Trevor Edmond, Kent McCord"
Circle,Mario Miscione,0,0,en,US,2015,86,"Julie Benz, Carter Jenkins, Cesar Garcia"
Eden Lake,James Watkins,12850990,3984669,en,GB,2008,91,"Kelly Reilly, Michael Fassbender, Jack O'Connell"
Plush,Catherine Hardwicke,0,0,en,US,2013,98,"Emily Browning, Cam Gigandet, Dawn Olivieri"
Vampire Killers,Phil Claydon,0,0,en,GB,2009,86,"James Corden, Mathew Horne, MyAnna Buring"
Freeze Frame,John Simpson,0,0,en,US,2004,99,"Lee Evans, Sean McGinley, Ian McNeice"
Grave Encounters,Stuart Ortiz,1000000,0,en,CA,2011,93,"Sean Rogerson, Ashleigh Gryzko, Merwin Mondesir"
Stitches,Conor McMahon,100000,95000,en,IE,2012,86,"Ross Noble, Tommy Knight, Gemma-Leah Devereux"
