title,director,budget,gross,language,country,year,runtime,actors
The Great Train Robbery,Edwin S. Porter,150,0,en,US,1903,12,"Gilbert M. Anderson, John Manus Dougherty Sr., Frank Hanaway"
Morvern Callar,Lynne Ramsay,0,0,en,GB,2002,97,"Samantha Morton, Kathleen McDermott, Raife Patrick Burchell"
The Flower of Evil,Claude Chabrol,0,0,fr,FR,2003,104,"Nathalie Baye, Benoît Magimel, Suzanne Flon"
Snow Flower and the Secret Fan,Wayne Wang,134005,1332231,en,US,2011,104,"Li Bingbing, Jun Ji-hyun, Hugh Jackman"
Julia,Fred Zinnemann,7840000,20700000,en,US,1977,117,"Jane Fonda, Vanessa Redgrave, Jason Robards"
Lake of Fire,Tony Kaye,0,25,en,US,2006,152,"Noam Chomsky, Flip Benham, Bill Baird"
11:14,Greg Marcks,6000000,0,en,CA,2003,86,"Rachael Leigh Cook, Ben Foster, Clark Gregg"
Men of War,Billy Corben,0,0,en,CA,2024,98,
Don McKay,Jake Goldberger,0,0,en,US,2009,87,"Thomas Haden Church, Elisabeth Shue, Melissa Leo"
A Shine of Rainbows,Vic Sarin,6000000,0,en,IE,2009,101,"Connie Nielsen, Aidan Quinn, John Bell"
The Hit List,William Kaufman,6000000,0,en,US,2011,90,"Cuba Gooding Jr., Cole Hauser, Jonathan LaPaglia"
Emma,Diarmuid Lawrence,0,0,en,US,1996,107,"Kate Beckinsale, Mark Strong, Samantha Morton"
Videodrome,David Cronenberg,5952000,2120439,en,CA,1983,88,"James Woods, Debbie Harry, Sonja Smits"
Song One,Kate Barker-Froyland,6000000,32251,en,US,2014,86,"Anne Hathaway, Johnny Flynn, Mary Steenburgen"
Freaky Deaky,Charles Matthau,0,0,en,US,2012,90,"Christian Slater, Michael Jai White, Crispin Glover"
The Train,John Frankenheimer,5800000,6800000,en,US,1964,133,"Burt Lancaster, Paul Scofield, Jeanne Moreau"
Trade of Innocents,Christopher Bessette,0,0,en,US,2012,91,"Dermot Mulroney, Mira Sorvino, John Billingsley"
Stiff Upper Lips,Gary Sinyor,0,0,en,US,1998,99,"Georgina Cates, Peter Ustinov, Prunella Scales"
The Inbetweeners,Damon Beesley,0,63852235,en,AU,2014,96,"Simon Bird, James Buckley, Blake Harrison"
Khiladi 786,Ashish R. Mohan,0,126,hi,IN,2012,139,"Akshay Kumar, Asin Thottumkal, Himesh Reshammiya"
Standing Ovation,Stewart Raffill,0,531826,en,US,2010,105,"Kayla Jackson, Kayla Raparelli, Sal Dupree"
High Plains Drifter,Clint Eastwood,5500000,15700000,en,US,1973,105,"Clint Eastwood, Verna Bloom, Marianna Hill"
Galaxina,William Sachs,5500000,4865000,en,US,1980,95,"Dorothy Stratten, Stephen Macht, Avery Schreiber"
Irreversible,Gaspar Noé,3500000,6500000,fr,FR,2002,94,"Monica Bellucci, Vincent Cassel, Albert Dupontel"
Rang De Basanti,Rakeysh Omprakash Mehra,2200000,11502151,hi,IN,2006,157,"Aamir Khan, Siddharth, Kunal Kapoor"
Animals,Marçal Forés,0,0,ca,ES,2012,95,"Oriol Pla, Augustus Prew, Dimitri Leonidas"
A Room for Romeo Brass,Shane Meadows,0,0,en,GB,1999,90,"Paddy Considine, Andrew Shim, Frank Harper"
Grabbers,Jon Wright,0,427335,en,GB,2012,94,"Richard Coyle, Ruth Bradley, Russell Tovey"
Miss Julie,Liv Ullmann,5500000,5000000,en,GB,2014,130,"Jessica Chastain, Colin Farrell, Samantha Morton"
Somewhere in Time,Jeannot Szwarc,5100000,0,en,US,1980,103,"Christopher Reeve, Jane Seymour, Christopher Plummer"
