title,director,budget,gross,language,country,year,runtime,actors
Racing Stripes,Frederik Du Chau,30000000,90754475,en,US,2005,102,"Frankie Muniz, Hayden Panettiere, Bruce Greenwood"
The Three Stooges,Peter Farrelly,30000000,54819301,en,US,2012,92,"Sean Hayes, Will Sasso, Chris Diamantopoulos"
Glory Road,James Gartner,0,42647449,en,US,2006,118,"Josh Lucas, Derek Luke, Jon Voight"
The Family,Luc Besson,30000000,36894225,en,US,2013,111,"Robert De Niro, Michelle Pfeiffer, Tommy Lee Jones"
Entourage,Doug Ellin,30000000,49263404,en,US,2015,104,"Kevin Connolly, Adrian Grenier, Kevin Dillon"
The Prince and Me,Chalart Sriwanna,0,0,th,TH,2002,88,"Sorachai Sang-aakaat, Julaluck Ismalone, Panadda Wongphudee"
Barney's Version,Richard J. Lewis,30000000,8454301,en,CA,2010,134,"Paul Giamatti, Dustin Hoffman, Rosamund Pike"
Trapped,Luis Mandoki,30000000,13414416,en,US,2002,106,"Charlize Theron, Courtney Love, Kevin Bacon"
Supercross,Steve Boyum,16000000,3344431,en,US,2005,80,"Steve Howey, Mike Vogel, Cameron Richardson"
Little Nicholas,Laurent Tirard,22700000,62794894,fr,FR,2009,91,"Maxime Godart, Valérie Lemercier, Kad Merad"
Wild Card,Simon West,30000000,6738764,en,US,2015,92,"Jason Statham, Michael Angarano, Dominik Garcia"
Animals United,Reinhard Klooss,0,0,de,DE,2010,93,"Christoph Maria Herbst, Ralf Schmitz, Thomas Fritsch"
The Color of Freedom,Bille August,30000000,0,en,US,2007,115,"Joseph Fiennes, Dennis Haysbert, Diane Kruger"
United Passions,Frédéric Auburtin,30000000,168832,en,US,2014,110,"Sam Neill, Gérard Depardieu, Tim Roth"
Grace of Monaco,Olivier Dahan,30000000,26576000,en,FR,2014,103,"Nicole Kidman, Milo Ventimiglia, Paz Vega"
A Warrior's Tail,Maksim Fadeev,30000000,0,ru,RU,2015,85,"Maksim Chukharyov, Konstantin Khabenskiy, Mikhail Galustyan"
Ripley's Game,Liliana Cavani,30000000,6200000,en,GB,2002,110,"John Malkovich, Dougray Scott, Ray Winstone"
Sausage Party,Greg Tiernan,19000000,140705322,en,US,2016,89,"Seth Rogen, Kristen Wiig, Jonah Hill"
12 Monkeys,Terry Gilliam,29000000,168841459,en,US,1995,129,"Bruce Willis, Madeleine Stowe, Brad Pitt"
Confessions of a Dangerous Mind,George Clooney,30000000,33013805,en,US,2002,113,"Sam Rockwell, Drew Barrymore, George Clooney"
Florence Foster Jenkins,Stephen Frears,29000000,48902953,en,GB,2016,110,"Meryl Streep, Hugh Grant, Simon Helberg"
Harlock: Space Pirate,Shinji Aramaki,30000000,18010317,ja,JP,2013,115,"Shun Oguri, Haruma Miura, Yu Aoi"
Winged Migration,Jacques Perrin,35866397,20217080,fr,FR,2001,89,"Jacques Perrin, Philippe Labro"
Captain Alatriste: The Spanish Musketeer,Agustín Díaz Yanes,24000000,23321954,es,ES,2006,145,"Viggo Mortensen, Elena Anaya, Unax Ugalde"
Limitless,Neil Burger,27000000,161900000,en,US,2011,105,"Bradley Cooper, Robert De Niro, Abbie Cornish"
The Sisterhood of the Traveling Pants 2,Sanaa Hamri,27000000,44352417,en,US,2008,117,"Amber Tamblyn, America Ferrera, Blake Lively"
