title,director,budget,gross,language,country,year,runtime,actors
The NeverEnding Story,Wolfgang Petersen,27000000,20158808,de,DE,1984,102,"Noah Hathaway, Barret Oliver, Tami Stronach"
The Honeymooners,John Schultz,25000000,13200000,en,US,2005,90,"Cedric the Entertainer, Mike Epps, Gabrielle Union"
Return to Oz,Walter Murch,25000000,11137801,en,US,1985,109,"Fairuza Balk, Nicol Williamson, Jean Marsh"
The Magic Flute,Florian Sigl,6500000,492000,en,DE,2022,125,"Jack Wolfe, F. Murray Abraham, Niamh McCormack"
Snow White: A Tale of Terror,Michael Cohn,26000000,0,en,US,1997,100,"Sigourney Weaver, Sam Neill, Monica Keena"
Accidental Love,David O. Russell,26000000,24487,en,US,2015,100,"Jessica Biel, Jake Gyllenhaal, James Marsden"
Viy,Georgi Kropachyov,0,0,ru,SU,1967,76,"Leonid Kuravlyov, Natalya Varley, Aleksey Glazyrin"
The Face of an Angel,Michael Winterbottom,0,0,en,US,2014,100,"Daniel Brühl, Kate Beckinsale, Cara Delevingne"
The Omen,Richard Donner,2800000,60922980,en,US,1976,111,"Gregory Peck, Lee Remick, David Warner"
Beauty Shop,Bille Woodruff,25000000,36351350,en,US,2005,105,"Queen Latifah, Alicia Silverstone, Kevin Bacon"
The Sitter,David Gordon Green,25000000,34942188,en,US,2011,81,"Jonah Hill, Landry Bender, Max Records"
Ice Princess,Tim Fywell,25000000,27645491,en,CA,2005,98,"Michelle Trachtenberg, Joan Cusack, Amy Stewart"
Shaun the Sheep,Mark Burton,25000000,106209378,en,US,2015,85,"Justin Fletcher, John Sparkes, Omid Djalili"
Dear John,Lasse Hallström,25000000,114977104,en,US,2010,108,"Amanda Seyfried, Channing Tatum, Richard Jenkins"
The Greatest Game Ever Played,Bill Paxton,26000000,15431177,en,CA,2005,120,"Shia LaBeouf, Stephen Dillane, Josh Flitter"
Hot Rod,Akiva Schaffer,0,14353654,en,US,2007,88,"Andy Samberg, Jorma Taccone, Bill Hader"
Lifeforce,Tobe Hooper,25000000,11603545,en,US,1985,102,"Steve Railsback, Peter Firth, Frank Finlay"
The Powerpuff Girls,Craig McCracken,11000000,16400000,en,US,2002,74,"Cathy Cavadini, Tara Strong, E. G. Daily"
A Perfect Plan,Pascal Chaumeil,0,0,fr,FR,2012,104,"Diane Kruger, Dany Boon, Alice Pol"
Sheena,John Guillermin,25000000,58000000,en,GB,1984,117,"Tanya Roberts, Ted Wass, Donovan Scott"
Carnage,Roman Polanski,25000000,30722632,en,ES,2011,79,"Jodie Foster, Kate Winslet, Christoph Waltz"
Cirque du Soleil: Worlds Away,Andrew Adamson,0,34153101,en,US,2012,91,"Erica Linz, Igor Zaripov, Matt Gillanders"
A Turtle's Tale: Sammy's Adventures,Ben Stassen,0,71594792,en,US,2010,88,"Yuri Lowenthal, Gemma Arterton, Isabelle Fuhrman"
The True Story of Puss'N Boots,Macha Makeïeff,0,0,fr,FR,2009,82,"Jérôme Deschamps, Yolande Moreau, Louise Wallon"
Space Dogs,Inna Evlannikova,25000000,8553835,ru,RU,2010,85,"Anna Bolshova, Evgeny Mironov, Sergey Garmash"
Ironclad,Jonathan English,25000000,5151023,en,US,2011,121,"James Purefoy, Kate Mara, Jason Flemyng"
Waterloo,Sergey Bondarchuk,25000000,3052000,en,IT,1970,134,"Rod Steiger, Christopher Plummer, Orson Welles"
Kung Fu Killer,Philip Spink,0,0,en,CA,2008,93,"David Carradine, Daryl Hannah, Lim Kay Tong"
Red Sky,Mario Van Peebles,25000000,0,en,US,2014,100,"Mario Van Peebles, Cam Gigandet, Rachael Leigh Cook"
Meet the Deedles,Steve Boyum,24000000,4562146,en,US,1998,93,"Paul Walker, John Ashton, Dennis Hopper"
In the Valley of Elah,Paul Haggis,23000000,29541790,en,US,2007,124,"Tommy Lee Jones, Charlize Theron, Susan Sarandon"
Forsaken,Jon Cassar,11000000,0,en,CA,2015,90,"Demi Moore, Kiefer Sutherland, Donald Sutherland"
Rogue,Greg McLean,20000000,4600000,en,AU,2007,99,"Radha Mitchell, Michael Vartan, Sam Worthington"
Bodyguards and Assassins,Teddy Chan Tak-Sum,23000000,6604537,cn,CN,2009,139,"Donnie Yen, Wang Xueqi, Tony Leung Ka-Fai"
Gandhi,Richard Attenborough,22000000,77737889,en,US,1982,191,"Ben Kingsley, Candice Bergen, Edward Fox"
Our Kind of Traitor,Susanna White,4000000,9930095,en,GB,2016,108,"Ewan McGregor, Stellan Skarsgård, Damian Lewis"
The Libertine,Laurence Dunmore,11000000,10900000,en,US,2004,114,"Johnny Depp, Samantha Morton, John Malkovich"
Sorcerer,William Friedkin,22000000,9000000,en,US,1977,121,"Roy Scheider, Bruno Cremer, Francisco Rabal"
Underdogs,Doug Dearth,0,35271,en,US,2013,104,"Natalie Imbruglia, D. B. Sweeney, Joe Namath"
For Colored Girls,Tyler Perry,21000000,38000000,en,US,2010,134,"Kimberly Elise, Janet Jackson, Loretta Devine"
The Bachelor,Gary Sinyor,51000000,36911617,en,US,1999,101,"Chris O'Donnell, Renée Zellweger, Artie Lange"
The French Connection,William Friedkin,1800000,41200000,en,US,1971,104,"Gene Hackman, Fernando Rey, Roy Scheider"
Bad Moms,Scott Moore,20000000,183936074,en,US,2016,100,"Mila Kunis, Kristen Bell, Kathryn Hahn"
Orphan,Jaume Collet-Serra,20000000,77912251,en,US,2009,122,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman"
Meet the Browns,Tyler Perry,20000000,41975388,en,US,2008,100,"Angela Bassett, Rick Fox, Lance Gross"
The Black Hole,Gary Nelson,20000000,35841901,en,US,1979,98,"Maximilian Schell, Anthony Perkins, Robert Forster"
Paint Your Wagon,Joshua Logan,20000000,31678778,en,US,1969,164,"Lee Marvin, Clint Eastwood, Jean Seberg"
The Stepfather,Nelson McCormick,20000000,31198531,en,US,2009,101,"Dylan Walsh, Sela Ward, Penn Badgley"
Stick It,Jessica Bendinger,0,0,en,US,2006,105,"Jeff Bridges, Missy Peregrym, Vanessa Lengies"
Nerve,Ariel Schulman,19000000,85241496,en,US,2016,96,"Emma Roberts, Dave Franco, Emily Meade"
Appaloosa,Ed Harris,20000000,20211394,en,US,2008,115,"Ed Harris, Viggo Mortensen, Robert Jauregui"
Yu-Gi-Oh! Duel Monsters,Hatsuki Tsuji,20000000,29266490,en,US,2004,90,"Dan Green, Eric Stuart, Scott Rayow"
Ladyhawke,Richard Donner,20000000,18432000,en,US,1985,121,"Matthew Broderick, Rutger Hauer, Michelle Pfeiffer"
Fired Up,Will Gluck,20000000,18599102,en,US,2009,91,"Nicholas D'Agosto, Eric Christian Olsen, Sarah Roemer"
Capitalism: A Love Story,Michael Moore,20000000,17436509,en,US,2009,128,"Michael Moore, Elijah Cummings, Marcy Kaptur"
Secret in Their Eyes,Billy Ray,19500000,34854990,en,KR,2015,111,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts"
Sweet Charity,Bob Fosse,8000000,20000000,en,US,1969,153,"Shirley MacLaine, John McMartin, Chita Rivera"
Perception,Irving Schwartz,0,0,en,US,2005,101,"Piper Perabo, Heather Burns, Mark Dobies"
Little Boy,Alejandro Monteverde,20000000,6500000,en,MX,2015,106,"Jakob Salvati, Emily Watson, Cary-Hiroyuki Tagawa"
Passchendaele,Paul Gross,0,0,en,CA,2008,114,"Paul Gross, Caroline Dhavernas, Joe Dinicol"
The Oogieloves in the Big Balloon Adventure,Matthew Diamond,0,0,en,US,2012,88,"Misty Miller, Stephanie Renz, Malerie Grady"
All Good Things,Andrew Jarecki,0,1754389,en,US,2010,101,"Ryan Gosling, Kirsten Dunst, Frank Langella"
CJ7,Stephen Chow Sing-Chi,20000000,47301471,cn,CN,2008,88,"Stephen Chow Sing-Chi, Xu Jiao, Kitty Zhang Yuqi"
Les couloirs du temps: Les visiteurs II,Jean-Marie Poiré,23030000,66000000,fr,FR,1998,118,"Christian Clavier, Jean Reno, Muriel Robin"
Regression,Alejandro Amenábar,20000000,17671101,en,US,2015,106,"Ethan Hawke, Emma Watson, David Thewlis"
The Touch,Peter Pau Tak-Hai,0,0,en,US,2002,103,"Michelle Yeoh, Ben Chaplin, Richard Roxburgh"
Three Kingdoms: Resurrection of the Dragon,Daniel Lee,0,0,cn,CN,2008,101,"Andy Lau, Sammo Hung Kam-Bo, Maggie Q"
Shattered,Luis Prieto,0,0,en,DE,2022,92,"Cameron Monaghan, Lilly Krug, Frank Grillo"
Zambezia,Wayne Thornley,20000000,0,en,US,2012,83,"Samuel L. Jackson, Abigail Breslin, Leonard Nimoy"
Ramanujan,Gnana Rajasekaran,0,0,ta,IN,2014,170,"Abhinay Vaddi, Suhasini Maniratnam, Kevin McGowan"
Dwegons and Leprechauns,Tom Walsh,0,0,en,US,2014,98,"Melissa Leo, Maggie Wheeler, Joey D. Vieira"
Hands of Stone,Jonathan Jakubowicz,20000000,5000000,en,US,2016,105,"Edgar Ramírez, Robert De Niro, Usher"
