title,director,budget,gross,language,country,year,runtime,actors
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Craig Moss,3000000,0,en,US,2013,80,"Kathryn Fiore, Flip Schultz, Olivia Alexander"
Never Back Down 2: The Beatdown,Michael Jai White,3000000,0,en,US,2011,99,"Michael Jai White, Gralen Bryant Banks, Alex Meraz"
Point Blank,Joe Lynch,0,0,en,US,2019,86,"Anthony Mackie, Frank Grillo, Marcia Gay Harden"
Four Single Fathers,Paolo Monico,3,0,en,US,2009,100,"Alessandro Gassmann, Francesco Quinn, Joe Urla"
Enter the Dangerous Mind,Victor Teran,0,0,en,US,2013,88,"Jake Hoffman, Nikki Reed, Thomas Dekker"
Something Wicked,Darin Scott,3000000,0,en,US,2014,95,"Shantel VanSanten, John Robinson, Julian Morris"
AWOL-72,Christian Sesma,3000000,0,en,US,2015,79,"Luke Goss, RZA, Bokeem Woodbine"
Iguana,Monte Hellman,0,0,en,US,1988,88,"Everett McGill, Fabio Testi, Michael Madsen"
Chicago Overcoat,Brian Caunter,3200000,0,en,US,2009,95,"Frank Vincent, Kathrine Narducci, Mike Starr"
Barry Munday,Chris D'Arienzo,0,0,en,US,2010,95,"Patrick Wilson, Malcolm McDowell, Judy Greer"
Pocketful of Miracles,Frank Capra,2900000,5000000,en,US,1961,136,"Glenn Ford, Bette Davis, Hope Lange"
Close Range,Isaac Florentine,3000000,0,en,US,2015,80,"Scott Adkins, Nick Chinlund, Caitlin Keats"
Amnesiac,Michael Polish,3000000,0,en,US,2015,90,"Kate Bosworth, Wes Bentley, Shashawnee Hall"
Freakonomics,Rachel Grady,3000000,103735,en,US,2010,93,"Zoe Sloane, Jade Viggiano, Amancaya Aguilar"
The Omen,Richard Donner,2800000,60922980,en,US,1976,111,"Gregory Peck, Lee Remick, David Warner"
Griff the Invisible,Leon Ford,2902660,0,en,AU,2011,93,"Ryan Kwanten, Maeve Dermody, Patrick Brammall"
Unnatural,Hank Braxtan,3000000,0,en,US,2015,89,"James Remar, Sherilyn Fenn, Ron Carlson"
Lage Raho Munna Bhai,Rajkumar Hirani,1800000,31517561,hi,IN,2006,144,"Sanjay Dutt, Arshad Warsi, Dilip Prabhavalkar"
The Black Stallion,Carroll Ballard,2700000,37799643,en,US,1979,118,"Kelly Reno, Mickey Rooney, Teri Garr"
Journey to Saturn,Kresten Vestbjerg Andersen,0,4917227,da,DK,2008,90,"Casper Christensen, Frank Hvam, Ali Kazim"
Donovan's Reef,John Ford,2686000,6600000,en,US,1963,109,"John Wayne, Elizabeth Allen, Lee Marvin"
The Dress,Eva Sereny,0,0,en,GB,1984,30,"Michael Palin, Phyllis Logan, Vivienne Ritchie"
A Guy Named Joe,Victor Fleming,2627000,5363000,en,US,1943,120,"Spencer Tracy, Irene Dunne, Van Johnson"
