title,director,budget,gross,language,country,year,runtime,actors
Slow West,John Maclean,2000000,1617522,en,GB,2015,84,"Michael Fassbender, Kodi Smit-McPhee, Ben Mendelsohn"
Krush Groove,Michael Schultz,3000000,11000000,en,US,1985,97,"Blair Underwood, Joseph Simmons, Darryl 'DMC' McDaniels"
Elmer Gantry,Richard Brooks,3000000,10400000,en,US,1960,146,"Burt Lancaster, Jean Simmons, Arthur Kennedy"
Judgment at Nuremberg,Stanley Kramer,3000000,10000000,en,US,1961,191,"Spencer Tracy, Richard Widmark, Maximilian Schell"
Trippin',Jayan Moodley,0,0,en,US,2021,93,"Jailoshini Naidoo, Koobeshan Naidoo, Maeshni Naicker"
Robot Chicken,Seth Green,0,0,en,US,2007,23,"Seth Green, Abraham Benrubi, Keith Ferguson"
Red River,Howard Hawks,3000000,9012000,en,US,1948,133,"John Wayne, Montgomery Clift, Joanne Dru"
Woman Thou Art Loosed,Michael Schultz,3000000,6804016,en,US,2004,94,"Kimberly Elise, Loretta Devine, Debbi Morgan"
Water,Deepa Mehta,0,10422387,hi,CA,2005,115,"Lisa Ray, Sarala, John Abraham"
Please Give,Nicole Holofcener,3000000,0,en,US,2010,90,"Catherine Keener, Amanda Peet, Oliver Platt"
Willy Wonka & the Chocolate Factory,J.M. Kenny,0,0,en,US,2001,30,"Mel Stuart, David L. Wolper, Roald Dahl"
Days of Heaven,Terrence Malick,3000000,3700000,en,US,1978,94,"Richard Gere, Brooke Adams, Sam Shepard"
Frances Ha,Noah Baumbach,0,4069826,en,US,2013,86,"Greta Gerwig, Mickey Sumner, Michael Zegen"
Happiness,Todd Solondz,3000000,2800000,en,US,1998,139,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman"
Compadres,Enrique Begné,3000000,0,es,MX,2016,101,"Omar Chaparro, Joey Morgan, Aislinn Derbez"
Freeway,Matthew Bright,3000000,0,en,US,1996,105,"Kiefer Sutherland, Reese Witherspoon, Wolfgang Bodison"
Love's Abiding Joy,Michael Landon Jr.,0,0,en,US,2006,87,"Erin Cottrell, Logan Bartholomew, William Morgan Sheppard"
Fish Tank,Andrea Arnold,3000000,5900000,en,NL,2009,123,"Katie Jarvis, Michael Fassbender, Kierston Wareing"
Damsels in Distress,Whit Stillman,0,1314358,en,US,2012,99,"Greta Gerwig, Lio Tipton, Megalyn Echikunwoke"
Creature,William Malone,750000,0,en,US,1985,97,"Stan Ivar, Wendy Schaal, Lyman Ward"
BrainDead,Peter Jackson,3000000,242623,en,US,1992,103,"Timothy Balme, Diana Peñalver, Elizabeth Moody"
Brave New Girl,Bobby Roth,0,0,en,US,2004,120,"Virginia Madsen, Lindsey Haun, Barbara Mamabolo"
The Grand,Zak Penn,5400000,0,en,US,2007,104,"Woody Harrelson, Werner Herzog, Dennis Farina"
Fort McCoy,Kate Connor,0,0,en,US,2014,100,"Eric Stoltz, Kate Connor, Lyndsy Fonseca"
The Eclipse,Conor McPherson,3000000,0,en,IE,2009,88,"Ciarán Hinds, Iben Hjejle, Aidan Quinn"
Demonic,Will Canon,3000000,3387000,en,US,2015,84,"Dustin Milligan, Scott Mechlowicz, Cody H. Carolin"
My Big Fat Independent Movie,Philip Zlotorynski,3000000,12155249,en,US,2005,80,"Paget Brewster, Neil Barton, Ashley Head"
The Deported,Lance Kawas,0,0,en,US,2010,90,"Nicholas Turturro, Talia Shire, Paul Rodríguez"
Tanner Hall,Tatiana von Fürstenberg,0,0,en,US,2009,96,"Rooney Mara, Georgia King, Brie Larson"
Open Road,Márcio Garcia,3000000,0,en,BR,2013,85,"Camilla Belle, Carol Castro, Christiane Torloni"
They Came Together,David Wain,0,0,en,US,2014,83,"Paul Rudd, Amy Poehler, Bill Hader"
