title,director,budget,gross,language,country,year,runtime,actors
Butterfly Girl,Cary Bell,0,0,en,US,2014,77,
The World Is Mine,Ann Oren,0,0,en,US,2017,68,
The Calling,Jason Stone,0,0,en,CA,2014,108,"Susan Sarandon, Gil Bellows, Ellen Burstyn"
Perfect Cowboy,Ken Roht,200,0,en,US,2014,109,"Ken Roht, Jeffrey Watkins, William Nicol"
The Woman Chaser,Robinson Devor,0,0,en,US,1999,90,"Patrick Warburton, Eugene Roche, Ron Morgan"
When the Lights Went Out,Pat Holden,0,1181929,en,GB,2012,86,"Steven Waddington, Kate Ashfield, Jo Hartley"
Heroes of Dirt,Eric Bugbee,0,0,en,US,2015,98,"Joel Moody, Vivienne VanHorn, William Martinez"
A Charlie Brown Christmas,Bill Melendez,96000,0,en,US,1965,25,"Peter Robbins, Christopher Shea, Tracy Stratford"
Antarctic Edge: 70° South,Dena Seidel,0,0,en,US,2015,72,
Aroused,Deborah Anderson,0,0,en,US,2013,73,"Lisa Ann, Kayden Kross, Belladonna"
Top Spin,Sara Newens,0,0,en,US,2014,80,"Ariel Hsing, Michael Landers, Lily Zhang"
Cat People,Paul Schrader,12500000,21000000,en,US,1982,118,"Nastassja Kinski, Malcolm McDowell, John Heard"
An American in Hollywood,Claudia Collao,0,0,fr,FR,2025,52,"Gene Kelly, Leslie Caron, Frank Sinatra"
Sound of My Voice,Zal Batmanglij,0,405614,en,US,2011,85,"Brit Marling, Christopher Denham, Nicole Vicius"
The Blood of My Brother,N/A,0,0,en,US,2005,90,
Your Sister's Sister,Lynn Shelton,125000,3242802,en,US,2011,90,"Emily Blunt, Rosemarie DeWitt, Mark Duplass"
A Dog's Breakfast,David Hewlett,120000,0,en,CA,2007,88,"David Hewlett, Kate Hewlett, Paul McGillion"
A Dog's Breakfast,David Hewlett,120000,0,en,CA,2007,88,"David Hewlett, Kate Hewlett, Paul McGillion"
Night of the Living Dead,George A. Romero,114000,30000000,en,US,1968,96,"Judith O'Dea, Duane Jones, Marilyn Eastman"
Une Femme Mariée,Jean-Luc Godard,120000,0,fr,FR,1964,95,"Macha Méril, Bernard Noël, Philippe Leroy"
The Birth of a Nation,D.W. Griffith,100000,11000000,en,US,1915,193,"Henry B. Walthall, Lillian Gish, Miriam Cooper"
The Work and the Story,Nathan Smith Jones,0,0,en,US,2003,70,"Kirby Heyborne, Christopher Robin Miller, Eric Artell"
Eraserhead,David Lynch,100000,7000000,en,US,1977,89,"Jack Nance, Charlotte Stewart, Allen Joseph"
Over the Hill to the Poorhouse,Harry F. Millarde,100000,3000000,en,US,1920,110,"James Sheridan, Noel Tearle, William Welsh"
The Mighty,Peter Chelsom,0,2652246,en,US,1998,100,"Sharon Stone, Elden Henson, Kieran Culkin"
Penitentiary,Jamaa Fanaka,0,0,en,US,1979,99,"Leon Isaac Kennedy, Thommy Pollard , Hazel Spears "
"Dude, Where's My Dog?!",Stephen Langford,0,0,en,US,2014,82,"Gabriela Castillo, Trish Cook, Alexander G. Eckert"
Indie Game: The Movie,James Swirsky,0,0,en,CA,2012,103,"Edmund McMillen, Tommy Refenes, Phil Fish"
Closure,Joel Hewett,150,500,en,US,2012,72,"Joel Hewett, Sarah Calmus, Paul McCallum"
Open Secret,Kerry David,0,0,en,US,2023,0,"Kerry David, Angie Kahney"
Echo Dr.,Patrick Ryan Sims,0,0,en,US,2013,85,"Johnathan Hurley, Jordan Savage, Dane Bowman"
The Night Visitor,László Benedek,0,0,en,DK,1971,106,"Max von Sydow, Trevor Howard, Liv Ullmann"
The Past is a Grotesque Animal,Jason Miller,100,0,en,US,2014,77,"Dottie Alexander, Derek Almstead, David Barnes"
"Peace, Propaganda & the Promised Land",Sut Jhally,0,0,en,US,2004,80,
"I Love You, Don't Touch Me!",Julie Davis,0,0,fr,FR,1997,86,"Marla Schaffel, Mitchell Whitfield, Michael Harris"
Queen Crab,Brett Piper,75000,0,en,US,2015,90,"Michelle Simone Miller, Kathryn Metz, Rich Lounello"
The Brain That Wouldn't Die,Joseph Green,62000,0,en,US,1962,82,"Jason Evers, Virginia Leith, Leslie Daniels"
Tiger Orange,Wade Gasque,0,0,en,US,2014,75,"Mark Strano, Frankie Valenti, Darryl Stephens"
Supporting Characters,Daniel Schechter,0,0,en,US,2012,87,"Alex Karpovsky, Tarik Lowe, Arielle Kebbel"
Absentia,Mike Flanagan,70000,0,en,US,2011,91,"Katie Parker, Courtney Bell, Morgan Peter Brown"
The Dirties,Matt Johnson,10000,0,en,CA,2013,83,"Matt Johnson, Owen Williams, Krista Madison"
Gabriela,Bruno Barreto,0,1300000,pt,BR,1983,99,"Sônia Braga, Marcello Mastroianni, Antonio Cantafora"
Hayride,Terron R. Parsons,60000,0,en,US,2012,93,"Richard Tyson, Sherri Eakin, Jeremy Ivy"
The Naked Ape,Donald Driver,0,0,en,US,1973,85,"Johnny Crawford, Victoria Principal, Dennis Olivieri"
Counting,Jem Cohen,50000,0,en,US,2015,111,
The Call of Cthulhu,Andrew Leman,50000,0,en,US,2005,47,"Matt Foyer, John Bolen, Ralph Lucas"
Bending Steel,Dave Carroll,0,0,en,US,2013,93,
The Signal,William Eubank,4000000,2665322,en,US,2014,97,"Brenton Thwaites, Olivia Cooke, Beau Knapp"
The Image Revolution,Patrick Meaney,50000,0,en,US,2013,81,"Todd McFarlane, Rob Liefeld, Jim Lee"
This Is Martin Bonner,Chad Hartigan,0,0,en,US,2013,83,"Paul Eenhoorn, Richmond Arquette, Sam Buchanan"
A True Story,Vicente Aranda,2356000,0,es,ES,1991,103,"Victoria Abril, Jorge Sanz, Maribel Verdú"
Dawn of the Crescent Moon,Kirk Loudon,0,0,en,US,2014,95,"Barry Corbin, Brooke Coleman, Kurt Cole"
Raymond Did It,Travis Legge,0,0,en,US,2011,83,"Kyle Hoskins, Elissa Dowling, Linda Cieslik"
The Last Waltz,Martin Scorsese,0,321952,en,US,1978,117,"Robbie Robertson, Rick Danko, Levon Helm"
"Run, Hide, Die",Collin Joseph Neal,50000,0,en,US,2015,75,"Alison Monda, Alicia Mendez, Ivey Bronwen"
The Exploding Girl,Bradley Rust Gray,0,0,en,US,2010,80,"Zoe Kazan, Mark Rendall, Maryann Urbano"
The Legend of God's Gun,Mike Bruce,0,0,en,US,2007,78,"Robert Bones, Kirpatrick Thomas, Dave Koenig"
Mutual Appreciation,Andrew Bujalski,500000,0,en,US,2005,109,"Justin Rice, Rachel Clift, Andrew Bujalski"
Her Cry: La Llorona Investigation,Damir Catic,5000,0,en,US,2013,89,"Nichole Ceballos, James Ezrin, Everardo Guzman"
Down Terrace,Ben Wheatley,31192,10000,en,GB,2010,93,"Robin Hill, Robert Hill, Julia Deakin"
Pink Narcissus,James Bidgood,27000,0,en,US,1971,65,"Don Brooks, Bobby Kendall, Charles Ludlam"
Funny Ha Ha,Andrew Bujalski,0,76901,en,US,2002,89,"Kate Dollenmayer, Mark Herlehy, Christian Rudder"
Manito,Eric Eason,0,0,en,US,2002,78,"Franky G, Leo Minaya, Manuel Cabral"
Rampage,Brad Peyton,120000000,428028233,en,US,2018,107,"Dwayne Johnson, Naomie Harris, Malin Åkerman"
Dutch Kills,Joseph Mazzella,0,0,en,US,2015,90,"R.L. Mann, Tama Filianga, Mikaal Bates"
Dry Spell,Taylor Gates,0,0,en,US,,70,"Patricia Galvez, Sarah Clingenpeel, Darian Michael Garey"
Flywheel,Alex Kendrick,20000,37000,en,US,2003,120,"Alex Kendrick, Janet Lee Dapper, Richie Hunnewell"
Exeter,Marcus Nispel,0,0,en,US,2015,91,"Stephen Lang, Kelly Blatz, Brittany Curran"
The Ridges,Brandon Landers,17350,0,en,US,2011,89,"Robbie Barnes, Robert Grant, Michael Karan"
The Puffy Chair,Jay Duplass,15000,0,en,US,2006,85,"Mark Duplass, Katie Aselton, Rhett Wilkins"
Stories of Our Lives,Jim Chuchu,0,0,en,US,2014,60,"Louis Brooke, Allan Bryan Weku, Judy Gichohi"
Breaking Upwards,Daryl Wein,0,0,en,US,2009,88,"Zoe Lister-Jones, Daryl Wein, Julie White"
All Superheroes Must Die,Jason Trost,20000,0,en,US,2011,78,"Jason Trost, Lucas Till, James Remar"
Tin Can Man,Ivan Kavanagh,10000,0,en,IE,2007,84,"Michael Parle, Emma Eliza Regan, Patrick O'Donnell"
The Cure,Peter Horton,0,2568235,en,US,1995,97,"Joseph Mazzello, Brad Renfro, Annabella Sciorra"
On the Downlow,Abigail Child,0,0,en,US,2007,56,
Sanctuary; Quite a Conundrum,Thomas L. Phillips,0,0,en,US,2012,82,"Sasha Ramos, Erin Cline, Emily Rogers"
Bang,Kongkiat Khomsiri,0,0,th,TH,2024,147,"Sukollawat Kanarot, Atitaya Tribudarak, Sanya Kunakorn"
Cavite,Neill Dela Llana,7,70,en,US,2005,80,"Ian Gamazon, Edwin Lagda, Edgar Tancangco"
Newlyweds,Edward Burns,9000,5000,en,US,2011,85,"Edward Burns, Caitlin FitzGerald, Kerry Bishé"
Signed Sealed Delivered,Scott Smith,0,0,en,US,2013,87,"Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe"
The Following,Akshay Prasad,0,0,en,US,2023,5,Althaf Muhammad
A Plague So Pleasant,Benjamin Roberds,0,0,en,US,2013,76,"Eva Boehnke, David Chandler, Maxwell Moody"
Shanghai Calling,Daniel Hsia,0,0,zh,CN,2012,98,"Daniel Henney, Eliza Coupe, Bill Paxton"
